Portuguese,English
estar,to be
ter,to have
ir,to go
poder,to be able to
saber,to know
fazer,"to do, to make"
ser,to be
querer,to want
haver,to have
dizer,to say
achar,"to think, to feel"
ver,to see
ficar,to stay
parecer,to seem
precisar,to need
falar,to speak
dar,to give
sentir,to feel
deixar,"to let, to leave"
sair,to exit
voltar,to return
esperar,to wait
acontecer,to happen
olhar,to look 
vir,to come
entrar,to enter
ajudar,to help
pensar,to think 
gostar,to like
matar,to kill
pegar,to take
tentar,to try
amar,to love
encontrar,to find
morrer,to die
acabar,to finish
levar,to take
acreditar,to believe
chegar,to arrive
cuidar,to care
contar,"to tell, to count"
significar,to mean
entender,to understand
ouvir,to hear
passar,to pass
lembrar,to remember
parar,to stop
conhecer,to know
causar,to cause
começar,to start
tirar,to remove
usar,to use
preocupar,to worry
comer,to eat
trabalhar,to work
conseguir,to get
segurar,to hold
tomar,to take
dormir,to sleep
viver,to live
acordar,to wake up
escutar,to listen
fugir,to escape
mudar,to change
ligar,to turn on
conversar,to converse
perder,to lose
existir,to exist
pedir,to request
mostrar,to show
brincar,to play
perguntar,to ask
chamar,to call
jogar,"to throw, to play"
colocar,to put
continuar,to continue
andar,"to walk, to ride"
esquecer,to forget
abrir,to open
odiar,to hate
rir,to laugh
seguir,to follow
responder,to respond
perceber,"to realize, to percieve"
jurar,to swear
esconder,to hide
queimar,to burn
quebrar,to break
cair,to fall
procurar,to look for
fumar,to smoke
imaginar,to imagine
virar,"to turn, to become"
resolver,to resolve
servir,to serve
fechar,to close
gritar,to scream
proteger,to protect
subir,to climb
pôr,to put
dançar,to dance
nascer,to be born
levantar,to rise
descer,to descend
lutar,"to struggle, to fight"
chocar,to shock
enganar,to trick
aprender,to learn
assistir,to watch
estudar,to study
machucar,to hurt
voar,to fly
mandar,to send
valer,to be worth 
lidar,to handle
chorar,to cry
sonhar,to dream
aparecer ,to appear
puxar,to pull
cortar,to cut
bater,to hit
sentar,to sit
mexer,"to move, to mess"
ensinar,to teach
cozinhar,to cook
escrever,to write 
trazer,to bring
